ordinal,node_id,out_degree
1,7054,40
2,7430,1
3,4481,0
4,2981,44
5,6032,80
6,5773,75
7,7170,1
8,2509,11
9,3033,45
10,3962,4
11,5887,1
12,5969,5
13,7801,1
14,7085,1
15,1173,1
16,1862,2
17,3171,1
18,6495,2
19,5218,1
20,8081,1
21,5911,2
22,5148,0
23,3911,2
24,8105,1
25,8294,0
26,924,1
27,5606,28
28,6907,191
29,5674,1
30,5605,11
31,979,0
32,649,40
33,643,46
34,341,47
35,6340,0
36,648,2
37,6902,28
38,6519,1
39,3195,0
40,2036,2
41,7320,1
42,5052,1
43,5480,3
44,6412,1
45,428,0
46,1307,0
47,7535,1
48,1725,1
49,696,6
50,6644,1
51,6958,2
52,3550,1
53,7634,1
54,3719,14
55,7597,4
56,5158,1
57,7005,13
58,7788,0
59,481,1
60,1186,0
61,6510,54
62,318,3
63,1471,72
64,1672,0
65,6481,0
66,4710,8
67,1045,1
68,5070,4
69,2400,0
70,3850,2
71,209,10
72,1749,68
73,3685,2
74,2508,13
75,5503,0
76,1885,44
77,6921,1
78,6168,1
79,520,1
80,4539,0
81,3054,1
82,5429,1
83,5312,9
84,4235,0
85,5179,217
86,4046,89
87,6033,1
88,4742,2
89,6832,0
90,4459,4
91,6771,2
92,3224,1
93,4038,1
94,2923,35
95,5662,4
96,5414,0
97,2456,31
98,492,1
99,1652,0
100,8193,2
101,5085,4
102,2401,1
103,1235,20
104,490,1
105,2277,8
106,1708,1
107,5462,19
108,7834,1
109,8205,1
110,5827,15
111,4720,1
112,5491,1
113,7227,12
114,6971,6
115,93,1
116,7912,0
117,5933,4
118,4043,0
119,7967,4
120,7759,4
121,2342,5
122,7143,0
123,172,123
124,3784,1
125,6850,0
126,7999,1
127,5447,2
128,3542,5
129,1502,2
130,922,149
131,5241,2
132,7137,1
133,1911,1
134,4483,153
135,6768,1
136,1859,3
137,2137,0
138,1046,24
139,2424,1
140,767,1
141,2928,1
142,6993,81
143,810,34
144,4269,3
145,6196,2
146,1534,2
147,5384,2
148,1460,1
149,4557,16
150,256,10
151,7419,1
152,6226,0
153,5815,5
154,7765,0
155,8071,1
156,6094,11
157,2811,19
158,112,1
159,3087,8
160,2096,2
161,6264,1
162,836,26
163,2018,2
164,7241,21
165,4232,3
166,5818,67
167,3093,1
168,7854,1
169,2015,1
170,6432,0
171,4042,21
172,6325,5
173,4541,0
174,2823,1
175,3696,1
176,6415,4
177,3524,1
178,4654,2
179,2406,2
180,1937,13
181,1858,1
182,4488,50
183,4560,3
184,460,3
185,6129,1
186,4260,1
187,1787,0
188,4461,2
189,5792,0
190,144,0
191,3396,2
192,1738,3
193,455,4
194,5278,1
195,3385,1
196,1930,1
197,24,309
198,3261,1
199,6376,0
200,5111,7
201,3558,1
202,4295,17
203,2002,1
204,166,93
205,8061,5
206,509,1
207,1008,8
208,3898,2
209,6046,2
210,3344,1
211,1142,48
212,7902,21
213,3761,2
214,4417,0
215,5939,3
216,1539,5
217,7632,0
218,869,11
219,6235,0
220,3743,10
221,1644,48
222,4797,0
223,1518,0
224,7123,1
225,6801,6
226,6492,2
227,2914,4
228,3665,20
229,1165,13
230,2793,6
231,4661,19
232,4615,1
233,7423,0
234,1608,355
235,87,195
236,3829,1
237,1662,6
238,1696,4
239,549,4
240,943,30
241,6222,1
242,6014,1
243,6066,1
244,2830,6
245,1953,0
246,4179,0
247,1374,462
248,4180,1
249,776,1
250,1931,15
251,733,8
252,3692,8
253,1563,0
254,5145,0
255,4458,2
256,7929,4
